2017-05-06 6:26:46 - PHP Notice:  Undefined variable: review in /var/www/html/upload/catalog/view/theme/default/template/product/product.tpl on line 191
2017-05-06 6:40:32 - PHP Notice:  Undefined index: name in /var/www/html/upload/catalog/controller/product/product.php on line 605
2017-05-06 6:40:32 - PHP Notice:  Undefined index: text in /var/www/html/upload/catalog/controller/product/product.php on line 609
2017-05-06 6:41:01 - PHP Notice:  Undefined index: name in /var/www/html/upload/catalog/controller/product/product.php on line 605
2017-05-06 6:41:01 - PHP Notice:  Undefined index: text in /var/www/html/upload/catalog/controller/product/product.php on line 609
2017-05-06 8:00:50 - PHP Notice:  Undefined variable: tele in /var/www/html/upload/catalog/view/theme/default/template/common/header.tpl on line 144
2017-05-06 8:00:50 - PHP Notice:  Use of undefined constant phone - assumed 'phone' in /var/www/html/upload/catalog/view/theme/default/template/common/header.tpl on line 144
2017-05-06 8:06:22 - PHP Notice:  Undefined variable: tele in /var/www/html/upload/catalog/view/theme/default/template/common/header.tpl on line 144
2017-05-06 8:06:22 - PHP Notice:  Use of undefined constant phone - assumed 'phone' in /var/www/html/upload/catalog/view/theme/default/template/common/header.tpl on line 144
2017-05-06 8:06:33 - PHP Notice:  Undefined variable: tele in /var/www/html/upload/catalog/view/theme/default/template/common/header.tpl on line 144
2017-05-06 8:06:33 - PHP Notice:  Use of undefined constant phone - assumed 'phone' in /var/www/html/upload/catalog/view/theme/default/template/common/header.tpl on line 144
2017-05-06 8:06:36 - PHP Notice:  Undefined variable: tele in /var/www/html/upload/catalog/view/theme/default/template/common/header.tpl on line 144
2017-05-06 8:06:36 - PHP Notice:  Use of undefined constant phone - assumed 'phone' in /var/www/html/upload/catalog/view/theme/default/template/common/header.tpl on line 144
2017-05-06 8:06:38 - PHP Notice:  Undefined variable: tele in /var/www/html/upload/catalog/view/theme/default/template/common/header.tpl on line 144
2017-05-06 8:06:38 - PHP Notice:  Use of undefined constant phone - assumed 'phone' in /var/www/html/upload/catalog/view/theme/default/template/common/header.tpl on line 144
2017-05-06 8:06:41 - PHP Notice:  Undefined variable: tele in /var/www/html/upload/catalog/view/theme/default/template/common/header.tpl on line 144
2017-05-06 8:06:41 - PHP Notice:  Use of undefined constant phone - assumed 'phone' in /var/www/html/upload/catalog/view/theme/default/template/common/header.tpl on line 144
2017-05-06 8:06:42 - PHP Notice:  Undefined variable: tele in /var/www/html/upload/catalog/view/theme/default/template/common/header.tpl on line 144
